clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp._YO3AOP1	4	2	27	7	6	9	7	4	62	30	5	19	42	75	1	6	10	271	48	80	11	14	11	12	12	26	0	1	26	32	23	3	7	3	2	2	12
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_azorense	10	6	11	9	7	3	10	5	51	48	8	21	11	36	3	3	4	240	30	142	95	16	11	8	29	13	0	9	35	17	27	1	2	4	8	12	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	31	24	51	24	24	6	10	7	188	107	55	58	54	168	3	30	19	891	371	906	190	102	8	24	43	19	4	18	33	54	54	6	8	5	38	25	14
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter	1	3	13	1	4	3	1	2	18	22	3	8	3	6	0	1	1	357	116	73	42	16	0	2	7	6	0	3	8	4	10	5	0	2	3	5	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_thermophilus	1	3	13	1	4	3	1	2	18	22	3	8	3	6	0	1	1	357	116	73	42	16	0	2	7	6	0	3	8	4	10	5	0	2	3	5	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	7	0	14	15	10	0	6	0	91	43	18	21	32	72	0	14	11	105	55	338	80	14	2	0	5	0	0	0	8	18	14	0	0	0	14	0	5
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._Y04AAS1	7	0	14	15	10	0	6	0	91	43	18	21	32	72	0	14	11	105	55	338	80	14	2	0	5	0	0	0	8	18	14	0	0	0	14	0	5
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	7	9	2	3	1	2	1	1	13	10	4	1	5	30	3	3	1	4	0	7	15	0	1	3	9	1	4	4	1	2	2	0	0	1	0	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex_aeolicus	7	9	2	3	1	2	1	1	13	10	4	1	5	30	3	3	1	4	0	7	15	0	1	3	9	1	4	4	1	2	2	0	0	1	0	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	15	11	21	5	9	1	1	4	65	31	29	27	14	59	0	12	6	424	199	487	52	72	5	19	21	12	0	11	15	29	28	1	8	2	21	19	7
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_ruber	3	5	1	0	3	0	0	2	20	7	3	0	5	4	0	0	3	43	34	105	4	22	3	6	1	2	0	6	5	9	7	0	4	0	3	2	0
